"hitter","launch_angle","exit_velo","BIP","single","double","triple","home_run","batting_average_for_BIP","home_run_for_BIP","slug_for_BIP"
"Benintendi, Andrew",22,103.47373457851,391,83,30,2,15,0.332480818414322,0.0383631713554987,0.534526854219949
"Polanco, Jorge",22,106.279961981475,466,87,32,1,34,0.330472103004292,0.0729613733905579,0.622317596566524
"Sánchez, Gary",23,107.09011803019,261,43,12,1,22,0.298850574712644,0.0842911877394636,0.60536398467433
"Duvall, Adam",24,108.111214326112,361,61,19,4,39,0.340720221606648,0.10803324099723,0.739612188365651
"VanMeter, Josh",24,101.597944470035,202,38,18,2,8,0.326732673267327,0.0396039603960396,0.554455445544555
"Adames, Willy",24,106.63911663881,352,77,33,2,27,0.394886363636364,0.0767045454545455,0.730113636363636
"Smith, Will",25,105.124712123987,343,68,19,1,29,0.341107871720117,0.0845481049562682,0.65597667638484
"Bellinger, Cody",26,103.612659227623,248,35,11,2,13,0.245967741935484,0.0524193548387097,0.463709677419355
"Belt, Brandon",26,105.327303864088,222,43,14,2,29,0.396396396396396,0.130630630630631,0.869369369369369
"Votto, Joey",26,106.728877213585,324,60,21,1,35,0.361111111111111,0.108024691358025,0.756172839506173
"Grossman, Robbie",27,106.336018489544,403,82,24,2,24,0.327543424317618,0.0595533498759305,0.575682382133995
"Gallo, Joey",28,111.10606172467,293,47,13,2,37,0.337883959044369,0.126279863481229,0.774744027303754
"Zunino, Mike",29,107.597791725157,212,28,13,2,35,0.367924528301887,0.165094339622642,0.943396226415094
