"hitter","launch_angle","exit_velo","BIP","single","double","triple","home_run","batting_average_for_BIP","home_run_for_BIP","slug_for_BIP"
"Cronenworth, Jake",11,105.600322005433,472,83,34,8,21,0.309322033898305,0.0444915254237288,0.548728813559322
"Machado, Manny",11,110.315783414298,463,98,30,2,26,0.336933045356371,0.0561555075593952,0.578833693304536
"Hernández, César",11,105.322282992356,439,92,20,2,21,0.30751708428246,0.0478359908883827,0.505694760820046
"Smith, Pavin",11,104.51393364464,396,93,29,3,11,0.343434343434343,0.0277777777777778,0.515151515151515
"Torreyes, Ronald",11,96.3021682204532,310,67,12,1,7,0.280645161290323,0.0225806451612903,0.393548387096774
"Brantley, Michael",11,104.137505639634,436,108,34,3,9,0.353211009174312,0.0206422018348624,0.506880733944954
"Solak, Nick",11,103.020279985544,355,82,17,1,14,0.32112676056338,0.0394366197183099,0.492957746478873
"Panik, Joe",11,97.1943960757996,214,42,9,0,3,0.252336448598131,0.014018691588785,0.336448598130841
"Wong, Kolten",11,104.015266139224,369,71,33,2,18,0.336043360433604,0.0487804878048781,0.582655826558266
"Rodgers, Brendan",11,106.42997763759,307,72,21,3,15,0.361563517915309,0.0488599348534202,0.596091205211726
"Gregorius, Didi",12,100.928622244461,320,48,16,2,15,0.253125,0.046875,0.45625
"Pujols, Albert",12,104.704507724336,252,50,5,0,18,0.28968253968254,0.0714285714285714,0.523809523809524
"Murphy, Sean",12,106.346324044087,278,43,24,0,17,0.302158273381295,0.0611510791366906,0.571942446043165
"Daza, Yonathan",12,100.429098910725,242,63,10,2,3,0.322314049586777,0.012396694214876,0.417355371900826
"France, Ty",12,106.199194107886,482,117,34,1,20,0.356846473029046,0.04149377593361,0.556016597510373
"Cruz, Nelson",12,110.585080062115,398,83,21,1,32,0.344221105527638,0.0804020100502513,0.64321608040201
"Frazier, Adam",12,99.5536534577879,511,129,38,6,7,0.352250489236791,0.0136986301369863,0.49119373776908
"Ramírez, José",12,108.208042934094,468,75,29,5,35,0.307692307692308,0.0747863247863248,0.615384615384615
"García, Avisaíl",12,108.663878375159,352,75,17,0,29,0.34375,0.0823863636363636,0.639204545454545
"Eaton, Adam",12,100.214952059279,204,40,14,2,5,0.299019607843137,0.0245098039215686,0.46078431372549
"Bote, David",12,104.967687907756,227,40,10,2,11,0.277533039647577,0.0484581497797357,0.484581497797357
"Renfroe, Hunter",12,107.93693745504,414,77,33,0,32,0.342995169082126,0.0772946859903382,0.654589371980676
"Stephenson, Tyler",12,103.002724454602,281,72,21,0,9,0.362989323843416,0.0320284697508897,0.533807829181495
"McCann, James",12,104.484605766212,268,66,12,1,10,0.332089552238806,0.0373134328358209,0.496268656716418
