last_name, first_name,player_id,team_id,team,position,age,competitive_runs,bolts,hp_to_1b,sprint_speed,year
Carroll, Corbin,682998,109,AZ,LF,21,52,31,4.05,30.7,2022
Thompson, Bubba,669352,140,TEX,LF,24,60,44,4.16,30.4,2022
Siri, Jose,642350,139,TB,CF,26,95,46,4.2,30.4,2022
Witt Jr., Bobby,677951,118,KC,SS,22,201,107,4.13,30.4,2022
Turner, Trea,607208,119,LAD,SS,29,277,131,4.14,30.3,2022
Mitchell, Garrett,669003,158,MIL,CF,23,20,11,4.01,30.2,2022
Locastro, Tim,641796,147,NYY,RF,29,20,12,4.18,30.1,2022
Bernard, Wynton,592144,115,COL,CF,31,23,14,4.08,30.1,2022
Mateo, Jorge,622761,110,BAL,SS,27,159,69,4.2,30.1,2022
McCarthy, Jake,664983,109,AZ,RF,24,138,71,4.21,30.1,2022
White, Eli,642201,140,TEX,CF,28,25,20,4.11,30.1,2022
Cruz, Oneil,665833,134,PIT,SS,23,123,52,4.2,29.9,2022
Ruiz, Esteury,665923,158,MIL,LF,23,18,8,4.31,29.8,2022
Adell, Jo,666176,108,LAA,LF,23,87,27,4.31,29.8,2022
Rodríguez, Julio,677594,136,SEA,CF,21,205,75,4.24,29.8,2022
O'Neill, Tyler,641933,138,STL,LF,27,108,37,4.28,29.8,2022
Hill, Derek,656537,116,DET,CF,26,29,15,4.23,29.7,2022
Eaton, Nate,681987,118,KC,3B,25,42,11,4.17,29.7,2022
Sierra, Magneuris,642423,108,LAA,CF,26,33,14,4.07,29.6,2022
Vierling, Matt,663837,143,PHI,CF,25,112,21,4.34,29.6,2022
Berti, Jon,542932,146,MIA,2B,32,163,35,4.26,29.6,2022
Quinn, Roman,596451,139,TB,CF,29,13,10,,29.6,2022
Hampson, Garrett,641658,115,COL,CF,27,78,23,4.25,29.5,2022
Rosario, Amed,642708,114,CLE,SS,26,344,91,4.17,29.5,2022
Taveras, Leody,665750,140,TEX,CF,23,105,31,4.21,29.5,2022
Sosa, Edmundo,624641,143,PHI,SS,26,74,19,4.32,29.5,2022
Azocar, José,640492,135,SD,CF,26,87,21,4.34,29.5,2022
Kennedy, Buddy,671083,109,AZ,2B,23,32,7,4.27,29.4,2022
Harris II, Michael,671739,144,ATL,CF,21,213,47,4.22,29.4,2022
Thomas, Lane,657041,120,WSH,CF,26,185,39,4.38,29.4,2022
Trout, Mike,545361,108,LAA,CF,30,106,27,4.3,29.4,2022
Peña, Jeremy,665161,117,HOU,SS,24,213,38,4.28,29.4,2022
Thomas, Alek,677950,109,AZ,CF,22,192,11,4.13,29.4,2022
McKenna, Ryan,663630,110,BAL,CF,25,64,10,4.2,29.4,2022
Straw, Myles,664702,114,CLE,CF,27,250,50,4.14,29.3,2022
Benson, Will,666181,114,CLE,CF,24,21,2,4.33,29.3,2022
Giménez, Andrés,665926,114,CLE,2B,23,193,44,4.14,29.3,2022
Chisholm Jr., Jazz,665862,146,MIA,2B,24,70,12,4.18,29.2,2022
Duran, Jarren,680776,111,BOS,CF,25,90,14,4.13,29.2,2022
