"","hitter","launch_angle","exit_velo","BIP","single","double","triple","home_run","woba","woba_bip","whiff_rate","foul_percent","strikeout_percent"
"329","Wynns, Austin",13,103.240960396501,334,69,15,0,13,0.285215605749487,0.334131736526946,0.249097472924188,0.348977135980746,0.234086242299795
"330","Estrada, Thairo",13,105.329137033657,663,153,45,4,30,0.342681623931624,0.403544494720965,0.211936662606577,0.384287454323995,0.211764705882353
"331","Reyes, Victor",13,105.777999928894,671,158,45,9,9,0.300487540628386,0.360134128166915,0.226516371443908,0.413311862587225,0.217627856365615
"332","Fuentes, Joshua",13,102.613215712171,215,38,16,1,10,0.289423076923077,0.377674418604651,0.276435045317221,0.398791540785498,0.269230769230769
"333","Ruiz, Esteury",13,103.619314671403,339,78,24,2,3,0.309691629955947,0.336283185840708,0.231958762886598,0.329896907216495,0.171492204899777
"334","Allen, Nick",13,101.389567192321,350,69,18,3,3,0.262872340425532,0.285,0.199740596627756,0.346303501945525,0.185106382978723
"335","Baddoo, Akil",13,106.850144221956,489,106,27,9,27,0.33037323037323,0.411860940695297,0.282157676348548,0.379668049792531,0.27027027027027
"336","De La Cruz, Bryan",13,107.869753647018,550,131,40,3,22,0.32925,0.403818181818182,0.262191260291324,0.38948701709943,0.237139272271016
"337","Contreras, William",13,110.730768963746,483,118,31,2,25,0.348948751642576,0.425155279503106,0.287901990811639,0.342266462480858,0.252299605781866
"338","Celestino, Gilberto",13,106.400601450826,226,49,11,1,2,0.269664634146341,0.304646017699115,0.215753424657534,0.397260273972603,0.225609756097561
"339","Rodríguez, Julio",13,110.082447585268,312,74,26,1,17,0.358050847457627,0.451923076923077,0.280473372781065,0.350295857988166,0.25635593220339
"340","Baty, Brett",13,108.578798269533,211,54,10,0,7,0.312903225806452,0.372985781990521,0.276206322795341,0.371048252911814,0.267062314540059
"341","Abrams, CJ",13,105.757345807244,504,113,29,6,13,0.299854439592431,0.35734126984127,0.22935044105854,0.366479550922213,0.20906432748538
